01/01/2021,Genesis 1-3
01/02/2021,Genesis 4-7
01/03/2021,Genesis 8-10
01/04/2021,Genesis 11-14
01/05/2021,Genesis 15-17
01/06/2021,Genesis 18-21
01/07/2021,Genesis 22-24
01/08/2021,Genesis 25-28
01/09/2021,Genesis 29-31
01/10/2021,Genesis 32-35
01/11/2021,Genesis 36-38
01/12/2021,Genesis 39-42
01/13/2021,Genesis 43-45
01/14/2021,Genesis 46-49
01/15/2021,Genesis 50; Exodus 1-2
01/16/2021,Exodus 3-6
01/17/2021,Exodus 7-9
01/18/2021,Exodus 10-13
01/19/2021,Exodus 14-16
01/20/2021,Exodus 17-20
01/21/2021,Exodus 21-23
01/22/2021,Exodus 24-27
01/23/2021,Exodus 28-30
01/24/2021,Exodus 31-34
01/25/2021,Exodus 35-37
01/26/2021,Exodus 38-40; Leviticus 1
01/27/2021,Leviticus 2-4
01/28/2021,Leviticus 5-8
01/29/2021,Leviticus 9-11
01/30/2021,Leviticus 12-15
01/31/2021,Leviticus 16-18
02/01/2021,Leviticus 19-22
02/02/2021,Leviticus 23-25
02/03/2021,Leviticus 26-27; Numbers 1-2
02/04/2021,Numbers 3-5
02/05/2021,Numbers 6-9
02/06/2021,Numbers 10-12
02/07/2021,Numbers 13-16
02/08/2021,Numbers 17-19
02/09/2021,Numbers 20-23
02/10/2021,Numbers 24-26
02/11/2021,Numbers 27-30
02/12/2021,Numbers 31-33
02/13/2021,Numbers 34-36; Deuteronomy 1
02/14/2021,Deuteronomy 2-4
02/15/2021,Deuteronomy 5-8
02/16/2021,Deuteronomy 9-11
02/17/2021,Deuteronomy 12-15
02/18/2021,Deuteronomy 16-18
02/19/2021,Deuteronomy 19-22
02/20/2021,Deuteronomy 23-25
02/21/2021,Deuteronomy 26-29
02/22/2021,Deuteronomy 30-32
02/23/2021,Deuteronomy 33-34; Joshua 1-2
02/24/2021,Joshua 3-5
02/25/2021,Joshua 6-9
02/26/2021,Joshua 10-12
02/27/2021,Joshua 13-16
02/28/2021,Joshua 17-19
03/01/2021,Joshua 20-23
03/02/2021,Joshua 24; Judges 1-2
03/03/2021,Judges 3-6
03/04/2021,Judges 7-9
03/05/2021,Judges 10-13
03/06/2021,Judges 14-16
03/07/2021,Judges 17-20
03/08/2021,Judges 21; Ruth 1-2
03/09/2021,Ruth 3-4; 1 Samuel 1-2
03/10/2021,1 Samuel 3-5
03/11/2021,1 Samuel 6-9
03/12/2021,1 Samuel 10-12
03/13/2021,1 Samuel 13-16
03/14/2021,1 Samuel 17-19
03/15/2021,1 Samuel 20-23
03/16/2021,1 Samuel 24-26
